AccountNo,Account Description,Dollars,Budget Year,Budget Type
01-10-36-4317,Dues,150,2002,Actual
01-10-36-4510,General Plant Supplies,500,2002,Actual
01-10-36-4525,Minor Capital Equipment,800,2002,Actual
01-10-36-4530,Mechanical Trades Testing,5000,2002,Actual
01-10-36-4900,Fringe Benefits,20380,2002,Actual
01-10-36-4901,Pension,3905,2002,Actual
01-10-37-4900,Fringe Benefits,27284,2002,Actual
01-10-38-4900,Fringe Benefits,18528,2002,Actual
01-10-39-4000,Salaries,10000,2002,Actual
01-10-39-4739,Contingencies,4150,2002,Actual
01-10-39-4900,Fringe Benefits,17760,2002,Actual
01-10-39-4901,Pension,3403,2002,Actual
01-11-11-4000,Salaries,163730,2002,Actual
01-11-11-4200,Advertising,16100,2002,Actual
01-11-11-4202,Printing,2000,2002,Actual
01-11-11-4216,Contracted Services,12500,2002,Actual
01-11-11-4222,Consulting Services,10000,2002,Actual
01-11-11-4235,Fees,25000,2002,Actual
01-11-11-4238,Physicals,2000,2002,Actual
01-11-11-4307,Conferences/Training,6000,2002,Actual
01-11-11-4308,Subscriptions,650,2002,Actual
01-11-11-4317,Dues,3350,2002,Actual
01-11-11-4444,Drug & Alcohol Testing,5000,2002,Actual
01-11-11-4506,Office Supplies,500,2002,Actual
01-11-11-4522,Medical/Surgical Supplies,2000,2002,Actual
01-11-11-4739,Contingencies,5730.59,2002,Actual
01-11-11-4900,Fringe Benefits,29907,2002,Actual
01-11-11-4901,Pension,5731,2002,Actual
01-12-12-4000,Salaries,174490,2002,Actual
01-12-12-4216,Contracted Services,25000,2002,Actual
01-12-12-4224,Legal Services,45000,2002,Actual
01-12-12-4229,Cost/Liens/Etc,16138,2002,Actual
01-12-12-4307,Conferences/Training,1000,2002,Actual
01-12-12-4308,Subscriptions,6245,2002,Actual
01-12-12-4525,Minor Capital Equipment,575,2002,Actual
01-12-12-4739,Contingencies,6107.15,2002,Actual
01-12-12-4900,Fringe Benefits,31872,2002,Actual
01-12-12-4901,Pension,6107,2002,Actual
01-13-61-4000,Salaries,140526,2002,Actual
01-13-61-4739,Contingencies,4918,2002,Actual
01-13-61-4900,Fringe Benefits,25668,2002,Actual
01-13-61-4901,Pension,4918,2002,Actual
01-13-62-4000,Salaries,292843,2002,Actual
01-13-62-4101,Light & Power,100000,2002,Actual
01-13-62-4900,Fringe Benefits,53491,2002,Actual
01-13-62-4901,Pension,10250,2002,Actual
01-13-63-4000,Salaries,274587,2002,Actual
01-13-63-4002,Longevity,2000,2002,Actual
01-13-63-4900,Fringe Benefits,50156,2002,Actual
01-13-63-4901,Pension,9611,2002,Actual
01-13-64-4000,Salaries,63201,2002,Actual
01-13-64-4900,Fringe Benefits,11544,2002,Actual
01-13-64-4901,Pension,2212,2002,Actual
01-14-91-4000,Salaries,14000,2002,Actual
01-14-91-4223,Audits,60000,2002,Actual
01-14-91-4319,PA League of Cities,25000,2002,Actual
01-14-91-4330,Dog Ordinance Expenditure,5000,2002,Actual
01-14-91-4740,Community Promotions,25000,2002,Actual
01-14-91-4741,Administrative Expenses,30000,2002,Actual
01-14-91-4756,BARTA,96820,2002,Actual
01-14-91-4760,Human Relations,24000,2002,Actual
01-14-91-4762,Senior Citizens Council,7500,2002,Actual
01-14-91-4763,Local Government Center,2000,2002,Actual
01-14-91-4764,BCTV,54167,2002,Actual
01-14-91-4765,Reading Symphony Orchestra,100,2002,Actual
01-14-91-4766,Shade Tree Commission,10000,2002,Actual
01-14-91-4770,Humane Society,41323,2002,Actual
01-14-91-4772,Canteen Contribution,679,2002,Actual
01-14-91-4773,Reading React,900,2002,Actual
01-14-91-4790,Meter Reader Cost,2000,2002,Actual
01-14-91-4791,Reading Berks Arts Council,5000,2002,Actual
01-14-91-4905,Hospitalization Insurance,172200,2002,Actual
01-14-91-4907,Unemployment Compensation,55000,2002,Actual
01-14-91-4911,Penny Fund,28990,2002,Actual
01-14-91-4923,Bond Expenses-York Cnty Bond,40000,2002,Actual
01-14-91-4925,Interest Exp-York Cnty Bond,93600,2002,Actual
01-14-91-4926,York Cnty Bond-Principal,309400,2002,Actual
01-14-91-4927,Interest Exp-1988 Bond,480000,2002,Actual
01-14-91-4928,Principal-1988 Bond,200000,2002,Actual
01-14-91-4936,Interest Exp-2001 Bond,36900,2002,Actual
01-14-91-4941,Principal-1992 A Bond,300000,2002,Actual
01-14-91-4944,Principal-1992/1998 Bond,709582,2002,Actual
01-14-91-4945,Principal-1995 Bond,1265000,2002,Actual
01-14-91-4946,Interest Exp-1992/1998 Bond,1481589.74,2002,Actual
01-14-91-4947,Interest Exp-1995 Bond,237592.5,2002,Actual
01-14-91-4960,Transfer to Self Insurance Fd,1000000,2002,Actual
01-14-91-4975,Transfer to Sick Leave Pool,20000,2002,Actual
01-16-00-3300,Rental - Parking Authority,-400000,2002,Actual
01-17-91-4216,Contracted Services,3000,2002,Actual
01-17-91-4224,Legal Services,15000,2002,Actual
01-17-91-4317,Dues,350,2002,Actual
01-17-91-4506,Office Supplies,500,2002,Actual
01-17-91-4776,Board of Ethics,3623,2002,Actual
01-18-91-4000,Salaries,10500,2002,Actual
01-18-91-4216,Contracted Services,10000,2002,Actual
01-18-91-4510,General Plant Supplies,3675,2002,Actual
01-18-91-4900,Fringe Benefits,4417,2002,Actual
01-18-91-4901,Pension,846.13,2002,Actual
09-09-00-3641,User Fees,-2334342,2002,Actual
09-09-35-4000,Salaries,1006130,2002,Actual
09-09-35-4001,Holiday Pay,54089,2002,Actual
09-09-35-4003,Uniform/Clothing Allowance,15500,2002,Actual
09-09-35-4006,Overtime,238430,2002,Actual
09-09-35-4104,Telephone,7025,2002,Actual
09-09-35-4201,Communications-Medical,14000,2002,Actual
09-09-35-4203,Rentals/Lease,39300,2002,Actual
09-09-35-4216,Contracted Services,225000,2002,Actual
09-09-35-4222,Consulting Services,7500,2002,Actual
09-09-35-4235,Fees,2220,2002,Actual
09-09-35-4238,Physicals,250,2002,Actual
09-09-35-4307,Conferences/Training,1000,2002,Actual
09-09-35-4308,Subscriptions,300,2002,Actual
09-09-35-4317,Dues,500,2002,Actual
09-09-35-4401,Maintenance/Repair Building,12000,2002,Actual
09-09-35-4402,Maintenance/Repair Equipment,9000,2002,Actual
09-09-35-4501,Gas,30000,2002,Actual
09-09-35-4509,Postage,125,2002,Actual
09-09-35-4510,General Plant Supplies,4773,2002,Actual
09-09-35-4522,Medical/Surgical Supplies,55000,2002,Actual
09-09-35-4525,Minor Capital Equipment,19029,2002,Actual
09-09-35-4701,Vehicle Operations,80000,2002,Actual
09-09-35-4720,Dispatching-Medical,157000,2002,Actual
09-09-35-4739,Contingencies,1835,2002,Actual
09-09-35-4802,Machinery and Equipment,11235,2002,Actual
09-09-35-4900,Fringe Benefits,183619,2002,Actual
09-09-35-4903,Fire Pension,52721,2002,Actual
09-09-35-4971,Transfer to General Fund,50000,2002,Actual
35-07-00-3410,Interest on Investments,-75000,2002,Actual
35-07-00-3553,State Motor License Fund Grant,-1067667,2002,Actual
35-07-00-4216,Contracted Services,600000,2002,Actual
35-07-00-4528,Small tools,10000,2002,Actual
35-07-00-4795,Ice & Snow Removal,25000,2002,Actual
35-07-00-4802,Machinery and Equipment,268000,2002,Actual
35-07-00-4804,Major Repairs to Equipment,50000,2002,Actual
35-07-00-4815,Maint/Roads & Bridges,45000,2002,Actual
35-07-24-4101,Light & Power,130000,2002,Actual
35-07-24-4102,Street Lighting,600000,2002,Actual
35-07-24-4408,Maint/Repair Traffic Signals,30000,2002,Actual
35-07-24-4409,Maint/Repair Street Lights,32000,2002,Actual
35-07-24-4412,Maint/Repair Signs & Paint,20000,2002,Actual
35-07-24-4802,Machinery and Equipment,10000,2002,Actual
50-15-00-3450,Lease Payment Fr Water Authori,-11624335,2002,Actual
50-15-81-4000,Salaries,22919,2002,Actual
50-15-81-4002,Longevity,1000,2002,Actual
50-15-81-4006,Overtime,7000,2002,Actual
50-15-81-4016,Temporary Wages,143579,2002,Actual
50-15-81-4017,Salaries Office Employees,59879,2002,Actual
50-15-81-4018,Salaries-Meter Readers,223209,2002,Actual
50-15-81-4200,Advertising,4500,2002,Actual
50-15-81-4216,Contracted Services,13765,2002,Actual
50-15-81-4222,Consulting Services,3000,2002,Actual
50-15-81-4229,Cost/Liens/Etc,3500,2002,Actual
50-15-81-4307,Conferences/Training,2000,2002,Actual
50-15-81-4308,Subscriptions,200,2002,Actual
50-15-81-4317,Dues,2700,2002,Actual
50-15-81-4406,General Repairs,2000,2002,Actual
50-15-81-4504,Uniforms,15150,2002,Actual
50-15-81-4506,Office Supplies,3000,2002,Actual
50-15-81-4509,Postage,5000,2002,Actual
50-15-81-4515,Refunds,10000,2002,Actual
50-15-81-4525,Minor Capital Equipment,2400,2002,Actual
50-15-81-4700,Travel Expense,6000,2002,Actual
50-15-81-4739,Contingencies,1473.19,2002,Actual
50-15-81-4802,Machinery and Equipment,9960,2002,Actual
50-15-81-4900,Fringe Benefits,77867,2002,Actual
50-15-81-4901,Pension,802,2002,Actual
50-15-83-4000,Salaries,383872,2002,Actual
50-15-83-4006,Overtime,15000,2002,Actual
50-15-83-4100,Fuel,14000,2002,Actual
50-15-83-4101,Light & Power,8000,2002,Actual
50-15-83-4104,Telephone,2500,2002,Actual
50-15-83-4216,Contracted Services,3000,2002,Actual
50-15-83-4235,Fees,5000,2002,Actual
50-15-83-4406,General Repairs,48000,2002,Actual
50-15-83-4411,Maintenance Agreements,8000,2002,Actual
50-15-83-4501,Gas,17000,2002,Actual
50-15-83-4510,General Plant Supplies,10000,2002,Actual
50-15-83-4525,Minor Capital Equipment,2000,2002,Actual
50-15-83-4739,Contingencies,1661.45,2002,Actual
50-15-83-4800,Land/Land Improvements,9000,2002,Actual
50-15-83-4804,Major Repairs to Equipment,10000,2002,Actual
50-15-83-4900,Fringe Benefits,70057,2002,Actual
50-15-83-4901,Pension,13436,2002,Actual
50-15-84-4000,Salaries,478429,2002,Actual
50-15-84-4002,Longevity,560,2002,Actual
50-15-84-4006,Overtime,115000,2002,Actual
50-15-84-4016,Temporary Wages,68618,2002,Actual
50-15-84-4019,Overtime-Laboratory,10000,2002,Actual
50-15-84-4100,Fuel,70000,2002,Actual
50-15-84-4216,Contracted Services,128000,2002,Actual
50-15-84-4406,General Repairs,65000,2002,Actual
50-15-84-4506,Office Supplies,30000,2002,Actual
50-15-84-4510,General Plant Supplies,45000,2002,Actual
50-15-84-4513,Chemical Supplies,550000,2002,Actual
50-15-84-4525,Minor Capital Equipment,2000,2002,Actual
50-15-84-4900,Fringe Benefits,99836,2002,Actual
50-15-84-4901,Pension,16745,2002,Actual
50-15-85-4101,Light & Power,350000,2002,Actual
50-15-85-4104,Telephone,23000,2002,Actual
50-15-86-4000,Salaries,988101,2002,Actual
50-15-86-4006,Overtime,60000,2002,Actual
50-15-86-4100,Fuel,16000,2002,Actual
50-15-86-4101,Light & Power,45000,2002,Actual
50-15-86-4104,Telephone,13300,2002,Actual
50-15-86-4216,Contracted Services,20800,2002,Actual
50-15-86-4402,Maintenance/Repair Equipment,9200,2002,Actual
50-15-86-4406,General Repairs,40000,2002,Actual
50-15-86-4500,Vehicle Supplies,30000,2002,Actual
50-15-86-4501,Gas,17000,2002,Actual
50-15-86-4510,General Plant Supplies,85000,2002,Actual
50-15-86-4525,Minor Capital Equipment,1000,2002,Actual
50-15-86-4739,Contingencies,1529.82,2002,Actual
50-15-86-4829,Extensions & Improvements,100000,2002,Actual
50-15-86-4900,Fringe Benefits,180328,2002,Actual
50-15-86-4901,Pension,34584,2002,Actual
50-15-96-4939,Interest/Pennvest Loan,123147.62,2002,Actual
50-15-96-4944,Principal-1992/1998 Bond,1220826.58,2002,Actual
50-15-96-4946,Interest Exp-1992/1998 Bond,439762.48,2002,Actual
50-15-96-4960,Transfer to Self Insurance Fd,543000,2002,Actual
50-15-96-4971,Transfer to General Fund,3000000,2002,Actual
50-15-96-4976,Indirect Cost Reimbursement,507385,2002,Actual
52-11-00-3410,Interest on Investments,-170000,2002,Actual
52-11-00-3750,Damages Recovered,-56173,2002,Actual
52-11-00-3901,Transfer from General Fund,-1000000,2002,Actual
52-11-00-3950,Transfer - Water Fund,-543000,2002,Actual
52-11-00-3954,Transfer from Sewer Fund,-543000,2002,Actual
52-11-00-4000,Salaries,72552,2002,Actual
52-11-00-4222,Consulting Services,4525,2002,Actual
52-11-00-4235,Fees,15463,2002,Actual
52-11-00-4307,Conferences/Training,57000,2002,Actual
52-11-00-4317,Dues,411,2002,Actual
52-11-00-4510,General Plant Supplies,475,2002,Actual
52-11-00-4739,Contingencies,2539.29,2002,Actual
52-11-00-4749,incurred Liability Claims,214699,2002,Actual
52-11-00-4752,Premium Payments,372831,2002,Actual
52-11-00-4753,Other Insurance Premium,38993,2002,Actual
52-11-00-4900,Fringe Benefits,13241,2002,Actual
52-11-00-4901,Pension,2539,2002,Actual
52-11-27-4202,Printing,1224,2002,Actual
52-11-27-4222,Consulting Services,42468,2002,Actual
52-11-27-4224,Legal Services,250870,2002,Actual
52-11-27-4235,Fees,52271,2002,Actual
52-11-27-4307,Conferences/Training,23719,2002,Actual
52-11-27-4308,Subscriptions,293,2002,Actual
52-11-27-4320,Bonding Insurance,32490,2002,Actual
52-11-27-4510,General Plant Supplies,21161,2002,Actual
52-11-27-4522,Medical/Surgical Supplies,2556,2002,Actual
52-11-27-4739,Contingencies,5309,2002,Actual
52-11-27-4750,W/C Claims-indemnity,575141,2002,Actual
52-11-27-4802,Machinery and Equipment,56237,2002,Actual
54-07-00-3410,Interest on Investments,-600000,2002,Actual
54-07-00-3554,Grants and Gifts,-512000,2002,Actual
54-07-00-3618,Interest and Penalty,-250000,2002,Actual
54-07-00-3639,Miscellaneous Revenue-Donation,-30000,2002,Actual
54-07-00-3680,General Consumer,-10274250,2002,Actual
54-07-00-3682,Sewer Rent Treatment,-5700000,2002,Actual
54-07-00-3683,Industrial Waste,-1200000,2002,Actual
54-07-00-3686,User Application Fee,-3000,2002,Actual
54-07-00-3688,Industrial Waste Testing,-100000,2002,Actual
54-07-00-3689,Revenue Fee,-4000,2002,Actual
54-07-43-4000,Salaries,425364,2002,Actual
54-07-43-4006,Overtime,88000,2002,Actual
54-07-43-4104,Telephone,1906,2002,Actual
54-07-43-4203,Rentals/Lease,1061,2002,Actual
54-07-43-4216,Contracted Services,268020,2002,Actual
54-07-43-4307,Conferences/Training,2060,2002,Actual
54-07-43-4500,Vehicle Supplies,35000,2002,Actual
54-07-43-4504,Uniforms,4000,2002,Actual
54-07-43-4510,General Plant Supplies,5500,2002,Actual
54-07-43-4516,Sewer Repair Supplies,58000,2002,Actual
54-07-43-4523,Hiway Maint/Repair,24000,2002,Actual
54-07-43-4739,Contingencies,1700.48,2002,Actual
54-07-43-4900,Fringe Benefits,77629,2002,Actual
54-07-43-4901,Pension,14888,2002,Actual
54-07-44-4000,Salaries,1441724,2002,Actual
54-07-44-4002,Longevity,1190,2002,Actual
54-07-44-4006,Overtime,180000,2002,Actual
54-07-44-4104,Telephone,4500,2002,Actual
54-07-44-4107,Water Services,175000,2002,Actual
54-07-44-4200,Advertising,1800,2002,Actual
54-07-44-4202,Printing,2000,2002,Actual
54-07-44-4216,Contracted Services,7000,2002,Actual
54-07-44-4222,Consulting Services,200000,2002,Actual
54-07-44-4235,Fees,1045000,2002,Actual
54-07-44-4307,Conferences/Training,3000,2002,Actual
54-07-44-4308,Subscriptions,2000,2002,Actual
54-07-44-4317,Dues,1600,2002,Actual
54-07-44-4406,General Repairs,650000,2002,Actual
54-07-44-4500,Vehicle Supplies,15000,2002,Actual
54-07-44-4504,Uniforms,7000,2002,Actual
54-07-44-4506,Office Supplies,125895,2002,Actual
54-07-44-4510,General Plant Supplies,14850,2002,Actual
54-07-44-4513,Chemical Supplies,456100,2002,Actual
54-07-44-4522,Medical/Surgical Supplies,2750,2002,Actual
54-07-44-4525,Minor Capital Equipment,251500,2002,Actual
54-07-44-4739,Contingencies,6110.9,2002,Actual
54-07-44-4900,Fringe Benefits,263115,2002,Actual
54-07-44-4901,Pension,50460,2002,Actual
54-07-91-4101,Light & Power,705000,2002,Actual
54-07-91-4738,Depreciation,1400000,2002,Actual
54-07-91-4923,Bond Expenses-York Cnty Bond,40000,2002,Actual
54-07-91-4936,Interest Exp-2001 Bond,59670,2002,Actual
54-07-91-4946,Interest Exp-1992/1998 Bond,869553.62,2002,Actual
54-07-91-4948,York County Bond,730800,2002,Actual
54-07-91-4960,Transfer to Self Insurance Fd,543000,2002,Actual
54-07-91-4961,Transfer to Water Fund,180353,2002,Actual
54-07-91-4971,Transfer to General Fund,5750000,2002,Actual
54-07-91-4976,Indirect Cost Reimbursement,418403,2002,Actual
54-12-12-4224,Legal Services,40000,2002,Actual
56-07-00-3410,Interest on Investments,-35000,2002,Actual
56-07-00-3554,Grants and Gifts,-175000,2002,Actual
56-07-00-3641,User Fees,-480000,2002,Actual
56-07-00-3723,United Corrstack (Paper),-1200,2002,Actual
56-07-00-3724,JP Mascaro (Co-Mingled),-25000,2002,Actual
56-07-00-3725,902 Grant (Education),-29700,2002,Actual
56-07-00-3726,902 Grant (Containers),-63000,2002,Actual
56-07-46-4000,Salaries,140123,2002,Actual
56-07-46-4200,Advertising,5000,2002,Actual
56-07-46-4202,Printing,28000,2002,Actual
56-07-46-4214,Collection Expense,419106,2002,Actual
56-07-46-4216,Contracted Services,150000,2002,Actual
56-07-46-4307,Conferences/Training,675,2002,Actual
56-07-46-4308,Subscriptions,200,2002,Actual
56-07-46-4509,Postage,16000,2002,Actual
56-07-46-4510,General Plant Supplies,70000,2002,Actual
56-07-46-4666,Reading Beautification,10000,2002,Actual
56-07-46-4735,Indirect Cost,94389,2002,Actual
56-07-46-4738,Depreciation,23764,2002,Actual
56-07-46-4739,Contingencies,1474.34,2002,Actual
56-07-46-4774,Reading DID,35000,2002,Actual
56-07-46-4900,Fringe Benefits,25572,2002,Actual
56-07-46-4901,Pension,4904,2002,Actual
56-07-47-3641,User Fees,-1378782,2002,Actual
56-07-47-4200,Advertising,1000,2002,Actual
56-07-47-4216,Contracted Services,1348716,2002,Actual
56-07-47-4509,Postage,10000,2002,Actual
01-00-00-3009,Discount and Allowance,213279,2003,Actual
01-00-00-3010,Property Tax Current,-13828073,2003,Actual
01-00-00-3020,Property Tax Prior,-1393974,2003,Actual
01-00-00-3021,Penalty & Interest,-310000,2003,Actual
01-00-00-3022,Property Tax 3/4% Tax,0,2003,Actual
01-00-00-3024,Property Tax Legal Fees,0,2003,Actual
01-00-00-3110,Per Capita Tax,-140000,2003,Actual
01-00-00-3111,Per Capita Tax Prior,-40000,2003,Actual
01-00-00-3120,Business Privilege Tax,-1300000,2003,Actual
01-00-00-3121,Bus Priv Tax -  Prior Year,-275000,2003,Actual
01-00-00-3130,Real Estate Transfer Tax,-1218000,2003,Actual
01-00-00-3140,Earned income Tax,-4100000,2003,Actual
01-00-00-3150,Eit Prior Year,-100000,2003,Actual
01-00-00-3162,Handicap Parking Permit,-5000,2003,Actual
01-00-00-3190,Occupation Tax,-200000,2003,Actual
01-00-00-3191,Occupation Tax -  Prior Year,-26000,2003,Actual
01-00-00-3210,Food Permits,-60000,2003,Actual
01-00-00-3220,Electrical Permits,-30000,2003,Actual
01-00-00-3221,New Construction Permits,-90000,2003,Actual
01-00-00-3222,Demolition Permits,-5000,2003,Actual
01-00-00-3223,Remodeling Permits,-250000,2003,Actual
01-00-00-3225,Trash Truck License Fees,-45000,2003,Actual
01-00-00-3226,Trades Licenses,-59500,2003,Actual
01-00-00-3227,Examination Fees,-11800,2003,Actual
01-00-00-3228,Commercial Parking Permits,-4000,2003,Actual
01-00-00-3230,Business Privilege License,-187000,2003,Actual
01-00-00-3250,Plumbing Permits,-53500,2003,Actual
01-00-00-3251,Heating Permits,-58000,2003,Actual
01-00-00-3260,Street Cuts,-133905,2003,Actual
01-00-00-3261,Pavements,0,2003,Actual
01-00-00-3270,Zoning Fees,-26000,2003,Actual
01-00-00-3274,Dumpster Fees,0,2003,Actual
01-00-00-3275,Land Development Fees,-12000,2003,Actual
01-00-00-3280,Housing/Rental Permit,-515000,2003,Actual
01-00-00-3282,Tax Administration Licenses,-18000,2003,Actual
01-00-00-3283,Franchise Fees,-720000,2003,Actual
01-00-00-3284,Other income,-3000,2003,Actual
01-00-00-3285,No Parking Signs Revenue,-600,2003,Actual
01-00-00-3286,Bicycle Licenses Revenue,0,2003,Actual
01-00-00-3310,Traffic Fines Motor Codes,-200000,2003,Actual
01-00-00-3323,Pa League of Cities-Sponsorshi,0,2003,Actual
01-00-00-3330,District Court Summary offense,-500000,2003,Actual
01-00-00-3333,Fines and Penalities P.S.P.,-57000,2003,Actual
01-00-00-3334,Fines and Penalities County,-26000,2003,Actual
01-00-00-3410,Interest on Investments,-600000,2003,Actual
01-00-00-3420,Rent Other Property Buildings,-66300,2003,Actual
01-00-00-3421,Rental on Stadium,-22000,2003,Actual
01-00-00-3429,Lease Rental/Grtr Berks Dev Fd,-350000,2003,Actual
01-00-00-3430,Lease Rental/Parking Authority,-100000,2003,Actual
01-00-00-3510,Payment in Lieu of Taxes,-160000,2003,Actual
01-00-00-3520,Malt & Liquor Tax Distribution,-55000,2003,Actual
01-00-00-3521,Public Utility Tax Distributio,-42000,2003,Actual
01-00-00-3526,Snow & Ice Control,-45500,2003,Actual
01-00-00-3541,Reading Public Library,-941846,2003,Actual
01-00-00-3543,School District School Guard,-360000,2003,Actual
01-00-00-3550,Police Training Reimbursement,-284000,2003,Actual
01-00-00-3560,Pension-State Contributions,-1647896,2003,Actual
01-00-00-3600,"Copies of Books, Ordinanc, Etc",-1500,2003,Actual
01-00-00-3635,Fire Insurance Certification,-1000,2003,Actual
01-00-00-3636,Other Department Earnings,-2000,2003,Actual
01-00-00-3660,Recreational Facilities,-40604,2003,Actual
01-00-00-3661,Swimming Pool,-60000,2003,Actual
01-00-00-3662,Pagoda & Tower,-1042,2003,Actual
01-00-00-3721,Sales Property/Equipment/Suppl,-250000,2003,Actual
